Course_Name,Professor_Name,Median_Score
Asian American Studies AAS 350 A,Connie So Lecturer WI18,4.1
Asian American Studies AAS 360 A,Enrique Bonus Associate Professor AU17,4.7
Asian American Studies AAS 370 A,Vincent Schleitwiler Other AU17,3.79
Asian American Studies AAS 372 A,Vincent Schleitwiler Assistant Professor SP18,3
Asian American Studies AAS 392 A,Linh Nguyen Assistant Professor WI18,3.56
Asian American Studies AAS 395 A,Connie So Lecturer AU17,4.67
Asian American Studies AAS 402 A,Jang Huh Assistant Professor SP18,4.81
Accounting ACCTG 199 A,Peter Demerjian Assistant Professor WI18,4.31
Accounting ACCTG 199 A,Peter Demerjian Assistant Professor AU17,4.79
Accounting ACCTG 199 A,Izzy Weber Lecturer SP18,4.73
Accounting ACCTG 215 A,Peter Demerjian Assistant Professor WI18,4.22
Accounting ACCTG 215 A,Izzy Weber Lecturer SU17,4.56
Accounting ACCTG 215 A,Peter Demerjian Assistant Professor AU17,4.21
Accounting ACCTG 215 A,Izzy Weber Lecturer SP18,3.96
Accounting ACCTG 215 AA,Christina Nichols Lecturer SU17,4.67
Accounting ACCTG 215 AA,Ruby Lee Other SP18,4.54
Accounting ACCTG 215 AB,Christina Nichols Lecturer SU17,4.73
Accounting ACCTG 215 AB,Ruby Lee Other SP18,4.59
Accounting ACCTG 215 AC,Christina Nichols Lecturer SU17,4.57
Accounting ACCTG 215 AC,Kiara Wilson Other SP18,4.56
Accounting ACCTG 215 AD,Kiara Wilson Other SP18,4.2
Accounting ACCTG 215 B,Steve Sefcik Professor WI18,4.44
Accounting ACCTG 215 B,Peter Demerjian Assistant Professor AU17,4.23
Accounting ACCTG 215 B,Izzy Weber Lecturer SP18,4.15
Accounting ACCTG 215 BA,Nancy Pasternack Lecturer WI18,4.06
Accounting ACCTG 215 BA,Sophie Wong-On-Wing Other SP18,4.58
Accounting ACCTG 215 BB,Nancy Pasternack Lecturer WI18,4.25
Accounting ACCTG 215 BB,Sophie Wong-On-Wing Other SP18,4.14
Accounting ACCTG 215 BC,Sarah Hanan Other SP18,4.32
Accounting ACCTG 215 BD,Sarah Hanan Other SP18,4.72
Accounting ACCTG 215 C,Ryan Anthony Lecturer WI18,1
Accounting ACCTG 215 C,Izzy Weber Lecturer AU17,4.38
Accounting ACCTG 215 C,Ryan Anthony Lecturer SP18,4
Accounting ACCTG 215 CA,Nancy Pasternack Lecturer AU17,4.11
Accounting ACCTG 215 CB,Nancy Pasternack Lecturer AU17,4.14
