"","Class_Name","Median_Score","Prof_Name","Quarter","Average_Score_By_Class"
"74","Arts & Sciences AAB 292",4.64,"James Ha ","SU17",4.735
"75","Arts & Sciences AAB 292",4.83,"Renee Ha ","SP18",4.735
"76","Asian American Studies AAS 101",4.75,"Connie So ","SU17",4.705
"77","Asian American Studies AAS 206",4.5,"Connie So ","WI18",4.5
"78","Asian American Studies AAS 210",4.07,"Connie So ","SP18",4.07
"79","Asian American Studies AAS 220",4.5,"Connie So ","SP18",4.5
"80","Asian American Studies AAS 330",4.7,"Jang Huh ","SP18",4.7
"81","Asian American Studies AAS 350",4.1,"Connie So ","WI18",4.1
"82","Asian American Studies AAS 360",4.7,"Enrique Bonus ","AU17",4.7
"83","Asian American Studies AAS 370",3.79,"Vincent Schleitwiler ","AU17",3.79
"84","Asian American Studies AAS 372",3,"Vincent Schleitwiler ","SP18",3
"85","Asian American Studies AAS 392",3.56,"Linh Nguyen ","WI18",3.56
"86","Asian American Studies AAS 395",4.67,"Connie So ","AU17",4.67
"87","Asian American Studies AAS 402",4.81,"Jang Huh ","SP18",4.81
"88","Accounting ACCTG 199",4.31,"Peter Demerjian ","WI18",4.61
"89","Accounting ACCTG 199",4.79,"Peter Demerjian ","AU17",4.61
"90","Accounting ACCTG 199",4.73,"Izzy Weber ","SP18",4.61
"91","Accounting ACCTG 215",4.22,"Peter Demerjian ","WI18",4.23516129032258
"92","Accounting ACCTG 215",4.56,"Izzy Weber ","SU17",4.23516129032258
"93","Accounting ACCTG 215",4.21,"Peter Demerjian ","AU17",4.23516129032258
"94","Accounting ACCTG 215",3.96,"Izzy Weber ","SP18",4.23516129032258
"95","Accounting ACCTG 215",4.67,"Christina Nichols ","SU17",4.23516129032258
"96","Accounting ACCTG 215",4.54,"Ruby Lee ","SP18",4.23516129032258
"97","Accounting ACCTG 215",4.73,"Christina Nichols ","SU17",4.23516129032258
"98","Accounting ACCTG 215",4.59,"Ruby Lee ","SP18",4.23516129032258
"99","Accounting ACCTG 215",4.57,"Christina Nichols ","SU17",4.23516129032258
"100","Accounting ACCTG 215",4.56,"Kiara Wilson ","SP18",4.23516129032258
"101","Accounting ACCTG 215",4.2,"Kiara Wilson ","SP18",4.23516129032258
"102","Accounting ACCTG 215",4.44,"Steve Sefcik ","WI18",4.23516129032258
"103","Accounting ACCTG 215",4.23,"Peter Demerjian ","AU17",4.23516129032258
"104","Accounting ACCTG 215",4.15,"Izzy Weber ","SP18",4.23516129032258
"105","Accounting ACCTG 215",4.06,"Nancy Pasternack ","WI18",4.23516129032258
"106","Accounting ACCTG 215",4.25,"Nancy Pasternack ","WI18",4.23516129032258
"107","Accounting ACCTG 215",4.32,"Sarah Hanan ","SP18",4.23516129032258
"108","Accounting ACCTG 215",4.72,"Sarah Hanan ","SP18",4.23516129032258
"109","Accounting ACCTG 215",1,"Ryan Anthony ","WI18",4.23516129032258
"110","Accounting ACCTG 215",4.38,"Izzy Weber ","AU17",4.23516129032258
"111","Accounting ACCTG 215",4,"Ryan Anthony ","SP18",4.23516129032258
"112","Accounting ACCTG 215",4.11,"Nancy Pasternack ","AU17",4.23516129032258
"113","Accounting ACCTG 215",4.14,"Nancy Pasternack ","AU17",4.23516129032258
"114","Accounting ACCTG 215",3.45,"Steve Sefcik ","WI18",4.23516129032258
"115","Accounting ACCTG 215",4.55,"Christina Nichols ","SP18",4.23516129032258
"116","Accounting ACCTG 215",4.6,"Christina Nichols ","WI18",4.23516129032258
"117","Accounting ACCTG 215",4.36,"Christina Nichols ","WI18",4.23516129032258
"118","Accounting ACCTG 215",4,"Nancy Pasternack ","SP18",4.23516129032258
"119","Accounting ACCTG 215",5,"Nancy Pasternack ","SP18",4.23516129032258
"120","Accounting ACCTG 219",4.2,"Christina Nichols ","WI18",4.214
"121","Accounting ACCTG 219",4.29,"Christina Nichols ","SU17",4.214
"122","Accounting ACCTG 219",3.91,"Christina Nichols ","AU17",4.214
"123","Accounting ACCTG 219",4.37,"Christina Nichols ","SP18",4.214
"124","Accounting ACCTG 219",4.3,"Christina Nichols ","WI18",4.214
"125","Accounting ACCTG 225",3.58,"Joseph Paperman ","WI18",4.285
"126","Accounting ACCTG 225",4,"Joseph Paperman ","SU17",4.285
"127","Accounting ACCTG 225",4.18,"Phil Quinn ","SP18",4.285
"128","Accounting ACCTG 225",3.81,"Joseph Paperman ","AU17",4.285
"129","Accounting ACCTG 225",4.09,"Unspecified Other ","AU17",4.285
