80,4.7,Asian American Studies AAS 330,Jang Huh ,SP18,4.7
81,4.1,Asian American Studies AAS 350,Connie So ,WI18,4.1
82,4.7,Asian American Studies AAS 360,Enrique Bonus ,AU17,4.7
83,3.79,Asian American Studies AAS 370,Vincent Schleitwiler ,AU17,3.79
84,3,Asian American Studies AAS 372,Vincent Schleitwiler ,SP18,3
85,3.56,Asian American Studies AAS 392,Linh Nguyen ,WI18,3.56
86,4.67,Asian American Studies AAS 395,Connie So ,AU17,4.67
87,4.81,Asian American Studies AAS 402,Jang Huh ,SP18,4.81
88,4.31,Accounting ACCTG 199,Peter Demerjian ,WI18,4.61
89,4.79,Accounting ACCTG 199,Peter Demerjian ,AU17,4.61
90,4.73,Accounting ACCTG 199,Izzy Weber ,SP18,4.61
91,4.22,Accounting ACCTG 215,Peter Demerjian ,WI18,4.23516129
92,4.56,Accounting ACCTG 215,Izzy Weber ,SU17,4.23516129
93,4.21,Accounting ACCTG 215,Peter Demerjian ,AU17,4.23516129
94,3.96,Accounting ACCTG 215,Izzy Weber ,SP18,4.23516129
95,4.67,Accounting ACCTG 215,Christina Nichols ,SU17,4.23516129
96,4.54,Accounting ACCTG 215,Ruby Lee ,SP18,4.23516129
97,4.73,Accounting ACCTG 215,Christina Nichols ,SU17,4.23516129
98,4.59,Accounting ACCTG 215,Ruby Lee ,SP18,4.23516129
99,4.57,Accounting ACCTG 215,Christina Nichols ,SU17,4.23516129
100,4.56,Accounting ACCTG 215,Kiara Wilson ,SP18,4.23516129
101,4.2,Accounting ACCTG 215,Kiara Wilson ,SP18,4.23516129
102,4.44,Accounting ACCTG 215,Steve Sefcik ,WI18,4.23516129
103,4.23,Accounting ACCTG 215,Peter Demerjian ,AU17,4.23516129
104,4.15,Accounting ACCTG 215,Izzy Weber ,SP18,4.23516129
105,4.06,Accounting ACCTG 215,Nancy Pasternack ,WI18,4.23516129
106,4.25,Accounting ACCTG 215,Nancy Pasternack ,WI18,4.23516129
107,4.32,Accounting ACCTG 215,Sarah Hanan ,SP18,4.23516129
108,4.72,Accounting ACCTG 215,Sarah Hanan ,SP18,4.23516129
109,1,Accounting ACCTG 215,Ryan Anthony ,WI18,4.23516129
110,4.38,Accounting ACCTG 215,Izzy Weber ,AU17,4.23516129
111,4,Accounting ACCTG 215,Ryan Anthony ,SP18,4.23516129
112,4.11,Accounting ACCTG 215,Nancy Pasternack ,AU17,4.23516129
113,4.14,Accounting ACCTG 215,Nancy Pasternack ,AU17,4.23516129
114,3.45,Accounting ACCTG 215,Steve Sefcik ,WI18,4.23516129
115,4.55,Accounting ACCTG 215,Christina Nichols ,SP18,4.23516129
116,4.6,Accounting ACCTG 215,Christina Nichols ,WI18,4.23516129
