53,Aeronautics & Astronautics A A 498 D,4.5,Aeronautics & Astronautics A A 498,Nathan Sniadecki ,SP18,3.38666666666667
54,Aeronautics & Astronautics A A 504 A,3.33,Aeronautics & Astronautics A A 504,Robert Breidenthal ,AU17,3.33
55,Aeronautics & Astronautics A A 506 A,2.5,Aeronautics & Astronautics A A 506,Dana Dabiri ,SP18,2.5
56,Aeronautics & Astronautics A A 507 A,2.88,Aeronautics & Astronautics A A 507,Dana Dabiri ,WI18,2.88
57,Aeronautics & Astronautics A A 510 A,4,Aeronautics & Astronautics A A 510,Unspecified Other ,AU17,4
58,Aeronautics & Astronautics A A 516 A,4.33,Aeronautics & Astronautics A A 516,Max Spetzler ,SP18,4.33
59,Aeronautics & Astronautics A A 524 A,4,Aeronautics & Astronautics A A 524,Mitsuru Kurosaka ,WI18,4
60,Aeronautics & Astronautics A A 530 B,4,Aeronautics & Astronautics A A 530,Moderage Waas ,AU17,4
61,Aeronautics & Astronautics A A 538 A,4,Aeronautics & Astronautics A A 538,Eli Livne ,AU17,4
62,Aeronautics & Astronautics A A 541 A,4.14,Aeronautics & Astronautics A A 541,Marco Salviato ,SP18,4.14
63,Aeronautics & Astronautics A A 543 A,4,Aeronautics & Astronautics A A 543,Antonino Ferrante ,WI18,4
64,Aeronautics & Astronautics A A 544 A,3.25,Aeronautics & Astronautics A A 544,Antonino Ferrante ,SP18,3.25
65,Aeronautics & Astronautics A A 547 A,4,Aeronautics & Astronautics A A 547,Unspecified Other ,AU17,4
66,Aeronautics & Astronautics A A 550 A,4.71,Aeronautics & Astronautics A A 550,Unspecified Other ,AU17,4.71
67,Aeronautics & Astronautics A A 557 A,3.38,Aeronautics & Astronautics A A 557,Justin Little ,WI18,3.38
68,Aeronautics & Astronautics A A 558 A,4.79,Aeronautics & Astronautics A A 558,Uri Shumlak ,SP18,4.79
69,Aeronautics & Astronautics A A 559 A,4.5,Aeronautics & Astronautics A A 559,Uri Shumlak ,WI18,4.5
70,Aeronautics & Astronautics A A 580 A,4.38,Aeronautics & Astronautics A A 580,Kristi Morgansen ,SP18,4.38
71,Aeronautics & Astronautics A A 597 A,4.61,Aeronautics & Astronautics A A 597,Mehran Mesbahi ,SP18,4.61
72,Arts & Sciences AAB 200 A,4.72,Arts & Sciences AAB 200,Renee Ha ,AU17,4.72
73,Arts & Sciences AAB 291 A,4.43,Arts & Sciences AAB 291,Renee Ha ,WI18,4.43
74,Arts & Sciences AAB 292 A,4.64,Arts & Sciences AAB 292,James Ha ,SU17,4.735
75,Arts & Sciences AAB 292 A,4.83,Arts & Sciences AAB 292,Renee Ha ,SP18,4.735
76,Asian American Studies AAS 101 A,4.75,Asian American Studies AAS 101,Connie So ,SU17,4.705
77,Asian American Studies AAS 206 A,4.5,Asian American Studies AAS 206,Connie So ,WI18,4.5
78,Asian American Studies AAS 210 A,4.07,Asian American Studies AAS 210,Connie So ,SP18,4.07
79,Asian American Studies AAS 220 A,4.5,Asian American Studies AAS 220,Connie So ,SP18,4.5
80,Asian American Studies AAS 330 A,4.7,Asian American Studies AAS 330,Jang Huh ,SP18,4.7
81,Asian American Studies AAS 350 A,4.1,Asian American Studies AAS 350,Connie So ,WI18,4.1
82,Asian American Studies AAS 360 A,4.7,Asian American Studies AAS 360,Enrique Bonus ,AU17,4.7
83,Asian American Studies AAS 370 A,3.79,Asian American Studies AAS 370,Vincent Schleitwiler ,AU17,3.79
84,Asian American Studies AAS 372 A,3,Asian American Studies AAS 372,Vincent Schleitwiler ,SP18,3
85,Asian American Studies AAS 392 A,3.56,Asian American Studies AAS 392,Linh Nguyen ,WI18,3.56
86,Asian American Studies AAS 395 A,4.67,Asian American Studies AAS 395,Connie So ,AU17,4.67
